,City,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
0,andros town,87.8,66,40,6.93,BS,1592927315,24.7,-77.77
1,almaznyy,87.8,40,20,8.95,RU,1592927315,48.04,40.05
2,east london,72.99,37,0,4.47,ZA,1592926883,-33.02,27.91
3,mataura,39.0,83,8,3.0,NZ,1592926880,-46.19,168.86
4,punta arenas,39.09,75,52,21.92,CL,1592926878,-53.15,-70.92
5,vaini,71.6,94,20,4.7,TO,1592926882,-21.2,-175.2
6,norman wells,53.6,93,75,5.82,CA,1592927316,65.28,-126.83
7,albany,85.32,52,74,1.01,US,1592926888,42.6,-73.97
8,yellowknife,61.75,76,40,14.99,CA,1592926752,62.46,-114.35
9,thessalon,69.8,88,90,5.82,CA,1592927316,46.25,-83.57
10,beringovskiy,37.24,79,1,5.84,RU,1592927316,63.05,179.32
11,batemans bay,48.99,75,51,12.06,AU,1592926881,-35.72,150.18
12,atuona,78.73,71,6,17.22,PF,1592926883,-9.8,-139.03
13,busselton,52.16,75,76,13.96,AU,1592926879,-33.65,115.33
14,new norfolk,50.7,91,100,1.01,AU,1592926880,-42.78,147.06
15,ushuaia,33.8,90,90,5.23,AR,1592926883,-54.8,-68.3
16,qaanaaq,37.76,87,8,0.87,GL,1592926879,77.48,-69.36
17,yanai,75.2,73,40,2.19,JP,1592927316,33.97,132.12
18,pamanukan,76.64,87,2,3.49,ID,1592927316,-6.28,107.81
19,ribeira grande,69.8,73,40,12.75,PT,1592927316,38.52,-28.7
20,owando,85.62,55,92,2.17,CG,1592927317,-0.48,15.9
21,carlisle,79.47,77,33,3.0,US,1592927317,40.2,-77.19
22,maldonado,65.71,93,90,9.17,UY,1592927317,-34.67,-54.92
23,bonthe,82.58,75,80,10.87,SL,1592927317,7.53,-12.51
24,voh,67.62,79,0,1.07,NC,1592927317,-20.97,164.7
25,bluff,39.0,83,35,3.0,NZ,1592926880,-46.6,168.33
26,torbay,77.16,69,20,17.22,CA,1592927317,47.67,-52.73
27,tatawin,87.8,29,40,9.17,TN,1592927317,32.93,10.45
28,sao filipe,81.34,58,6,15.64,CV,1592926889,14.9,-24.5
29,jamestown,73.26,78,75,9.17,US,1592926888,42.1,-79.24
30,oudtshoorn,59.0,72,0,4.7,ZA,1592927318,-33.59,22.2
31,hobart,52.5,87,90,10.29,AU,1592926752,-42.88,147.33
32,cape town,61.59,59,19,12.75,ZA,1592926585,-33.93,18.42
33,klaksvik,53.6,87,24,13.87,FO,1592927318,62.23,-6.59
34,codrington,52.84,89,58,2.89,AU,1592927318,-38.27,141.97
35,chimbote,66.4,74,62,12.57,PE,1592927318,-9.09,-78.58
36,puerto ayora,71.91,78,75,12.75,EC,1592926886,-0.74,-90.35
37,yanam,86.0,66,40,10.29,IN,1592927320,16.73,82.22
38,grindavik,51.8,71,75,14.99,IS,1592927320,63.84,-22.43
39,chokurdakh,59.86,42,32,6.53,RU,1592926881,70.63,147.92
40,katsuura,71.15,100,75,4.7,JP,1592927321,35.13,140.3
41,abu samrah,82.53,23,0,17.05,SY,1592927321,35.3,37.18
42,port alfred,64.0,60,0,3.0,ZA,1592926884,-33.59,26.89
43,hualmay,66.49,70,63,9.26,PE,1592926883,-11.1,-77.61
44,hami,79.99,14,54,5.75,CN,1592927322,42.8,93.45
45,tasiilaq,48.2,66,75,1.12,GL,1592926879,65.61,-37.64
46,san cristobal,87.8,48,40,25.28,VE,1592927322,7.77,-72.22
47,port elizabeth,64.4,55,0,8.05,ZA,1592926888,-33.92,25.57
